,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,10,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
1,2,3,4,2,1,0,0,0,1,0,0,0,1,0,0,0
2,0,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0
3,1,1,0,4,3,3,1,0,0,1,0,0,1,0,0,0
4,2,0,1,3,2,5,2,2,0,1,0,2,0,0,0,0
5,3,2,1,1,4,8,3,1,0,1,5,1,1,2,0,0
6,1,0,0,0,1,7,9,2,5,2,1,1,3,1,0,2
7,1,0,0,1,2,4,6,3,4,0,4,2,2,2,1,3
8,2,0,1,3,3,2,1,1,6,0,4,2,4,2,4,0
9,1,1,0,2,3,3,2,6,1,1,2,2,1,4,1,5
10,4,0,0,0,1,3,3,4,5,3,2,3,1,1,4,1
11,0,0,0,1,3,1,5,3,2,2,3,3,6,1,2,3
12,1,0,0,2,4,1,0,6,1,2,4,3,5,2,1,3
13,1,2,0,0,3,3,3,1,1,2,4,5,2,3,4,1
14,0,0,0,0,1,3,1,0,0,0,4,3,3,1,6,5
15,0,0,0,0,1,2,0,2,1,1,2,3,1,4,2,1
