,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,6,3,1,2,0,0,1,0,0,0,1,1,0,0,0,0
1,1,6,2,2,0,1,0,0,1,0,0,0,0,0,1,0
2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,0,2,3,2,2,0,1,0,2,1,0,0,0,0
4,0,0,0,1,5,5,3,0,2,1,1,0,1,1,0,0
5,1,1,1,1,4,8,7,2,4,0,1,0,0,2,1,0
6,1,0,0,3,8,3,6,4,2,0,0,2,3,2,0,1
7,1,1,0,1,4,4,2,4,2,2,5,5,1,0,1,2
8,2,1,1,4,5,3,5,1,4,1,1,1,0,1,4,1
9,2,0,0,0,2,3,2,1,7,4,4,3,1,0,4,2
10,1,1,0,0,2,3,1,1,4,5,5,3,1,2,1,5
11,0,0,1,1,0,3,3,1,6,3,5,2,3,4,0,3
12,1,1,0,0,1,2,1,1,1,3,3,5,3,6,5,2
13,0,0,0,0,0,3,2,1,3,2,2,3,3,3,6,7
14,0,1,0,0,2,3,2,2,3,2,1,1,1,3,5,2
15,1,0,0,0,1,1,1,1,2,1,0,0,3,5,5,0
