,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,9,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0
1,2,4,4,0,1,0,0,1,0,0,1,0,0,0,0,1
2,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,1
3,1,1,1,6,3,1,1,0,0,0,0,0,0,0,0,0
4,0,0,0,7,7,0,0,1,2,0,0,1,0,0,2,0
5,1,2,1,6,5,3,6,3,0,2,1,2,0,0,1,0
6,0,0,0,5,9,5,7,4,1,0,0,0,1,2,0,1
7,0,1,1,4,1,6,5,5,4,0,2,3,0,1,2,0
8,1,2,0,4,2,1,3,4,6,2,1,3,3,0,3,0
9,0,0,0,0,1,5,2,3,3,4,5,4,3,2,1,2
10,2,0,0,1,4,0,5,4,1,2,4,3,2,1,4,2
11,0,0,0,0,3,3,2,4,2,4,2,6,2,1,2,4
12,0,1,0,3,0,1,4,6,0,0,1,6,1,7,3,2
13,1,1,1,1,2,4,1,1,0,1,2,4,4,3,6,3
14,1,0,0,1,0,1,2,0,4,2,2,3,2,3,5,1
15,1,0,0,1,1,1,0,2,2,1,2,1,1,2,3,2
