,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,6,2,0,2,1,0,0,0,2,1,0,1,0,0,0,1
1,5,5,2,0,1,1,0,0,0,0,0,0,0,0,1,0
2,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0
3,0,2,0,3,3,3,1,1,1,1,0,0,0,0,0,0
4,1,0,0,7,5,0,2,3,1,0,0,1,0,0,0,0
5,1,1,2,1,4,9,6,1,4,0,1,2,0,0,1,1
6,2,1,0,2,2,5,10,2,3,0,3,0,4,0,1,0
7,1,0,0,0,2,3,3,6,1,2,3,4,2,2,3,3
8,2,1,0,0,4,3,3,5,4,0,4,2,3,0,1,3
9,3,0,1,1,1,3,4,1,1,2,7,0,5,3,0,3
10,0,1,0,2,0,2,2,4,4,3,4,3,2,0,2,6
11,0,0,0,0,2,2,3,3,3,3,4,2,2,4,3,4
12,1,0,0,1,1,4,4,3,0,1,2,4,2,4,4,4
13,0,0,0,0,0,0,1,3,2,1,6,1,6,3,6,6
14,0,1,1,1,1,1,3,2,0,4,2,2,0,4,2,4
15,0,0,0,0,0,2,2,2,0,1,1,0,2,3,4,4
