,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,10,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,6,1,1,0,0,0,0,2,0,0,1,0,0,1,0
2,0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0
3,0,2,0,6,4,1,2,0,0,0,0,0,0,0,0,0
4,2,1,0,4,4,2,3,1,0,0,0,1,2,0,0,0
5,0,0,2,3,4,4,8,2,4,1,2,2,0,1,1,0
6,2,1,0,1,4,6,5,5,3,2,2,0,0,2,1,1
7,1,2,0,1,4,2,4,5,2,2,3,4,1,0,1,3
8,2,0,1,2,4,3,5,4,2,0,2,2,3,1,3,1
9,0,1,0,3,1,1,4,3,1,3,2,5,3,2,2,4
10,1,0,0,3,4,2,3,4,4,0,5,1,1,3,2,2
11,0,1,0,2,1,2,1,4,3,2,4,4,3,4,3,1
12,2,0,1,3,1,2,4,3,1,3,2,2,2,5,2,2
13,2,0,0,2,3,5,4,1,4,3,4,3,1,1,1,1
14,0,0,0,1,2,1,1,2,2,0,1,1,3,3,3,8
15,1,0,0,1,0,0,1,2,2,1,0,3,0,3,3,4
