,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,7,3,0,0,0,0,0,1,3,0,1,0,0,0,0,0
1,1,7,1,0,1,1,1,0,2,0,0,0,0,0,0,0
2,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
3,0,2,0,6,4,0,1,2,0,0,0,0,0,0,0,0
4,0,1,0,8,3,4,0,1,1,0,0,1,1,0,0,0
5,1,1,1,2,2,9,3,3,0,1,0,3,3,3,0,1
6,2,1,1,1,3,5,7,1,6,1,3,1,1,2,0,0
7,0,3,1,1,1,4,5,2,4,1,1,2,1,1,3,5
8,1,2,1,3,2,5,3,4,5,1,2,2,3,0,0,1
9,0,0,1,1,2,1,3,6,1,8,4,5,1,1,0,1
10,2,1,0,1,2,3,3,4,6,2,5,2,0,2,2,0
11,0,0,0,0,2,5,4,2,2,3,4,2,3,4,1,3
12,0,1,2,0,4,2,2,6,1,3,3,3,3,2,3,0
13,1,1,0,0,2,2,3,1,1,1,4,3,8,2,3,3
14,1,1,0,0,1,1,1,0,1,3,6,1,2,2,4,3
15,2,1,0,0,0,1,3,0,1,0,3,2,0,2,1,4
