,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,7,3,0,0,0,0,1,1,0,1,0,1,0,0,0,1
1,2,7,1,2,0,1,0,1,0,0,0,0,0,0,0,0
2,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0
3,1,1,1,3,1,5,0,0,2,0,0,0,0,0,1,0
4,2,2,1,1,3,1,2,2,0,1,1,1,2,1,0,0
5,2,0,0,4,2,2,6,2,4,0,3,3,1,3,1,0
6,1,0,0,1,2,4,6,1,4,2,6,1,3,1,3,0
7,2,1,0,1,2,4,7,6,2,3,0,2,3,0,1,1
8,1,2,1,1,0,5,3,5,3,1,1,2,4,2,1,3
9,3,0,0,2,2,3,4,4,3,0,2,5,2,2,1,2
10,1,0,2,1,1,1,3,1,3,4,5,1,0,2,5,5
11,0,2,0,1,2,1,4,6,1,1,2,3,5,6,0,1
12,1,1,0,2,1,0,2,1,1,1,4,5,3,8,3,2
13,0,1,2,0,2,2,3,0,2,0,2,6,3,3,6,3
14,0,0,0,1,0,1,3,0,3,1,2,2,2,2,8,3
15,1,0,0,0,0,0,1,5,0,0,1,1,1,4,4,2
