,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,11,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,9,1,1,1,0,0,0,0,0,0,0,0,0,1,1
2,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,5,9,1,0,0,0,0,0,0,0,0,0,0
4,0,1,1,1,5,4,2,3,1,0,1,1,0,0,0,0
5,0,0,2,3,4,5,6,3,0,2,2,1,1,2,2,0
6,0,0,0,2,4,2,6,2,3,0,3,3,6,2,1,1
7,1,1,1,2,1,5,3,7,4,5,2,1,2,0,0,0
8,3,2,0,1,4,3,6,3,3,4,2,0,3,1,0,0
9,0,0,1,1,1,1,4,7,3,1,4,4,2,0,2,4
10,1,0,2,2,2,2,1,5,6,1,2,4,1,2,2,2
11,0,1,0,3,2,3,3,1,5,3,4,2,1,3,2,2
12,1,0,1,2,1,2,3,1,1,5,3,3,2,4,2,4
13,1,0,0,0,0,1,4,2,3,1,3,8,2,2,4,4
14,1,0,1,0,1,3,2,1,3,1,4,3,1,1,1,5
15,0,0,0,1,0,3,2,3,1,1,1,1,0,1,3,4
