,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,5,5,2,0,0,1,1,0,1,0,0,0,0,0,0,0
1,4,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,3,6,4,0,1,0,1,0,0,0,0,0,0,0
4,1,0,0,5,3,1,2,1,2,0,1,1,0,1,2,0
5,3,3,0,2,7,2,4,1,4,1,1,1,1,1,2,0
6,3,1,0,1,4,4,3,7,2,1,0,1,1,1,3,3
7,2,0,1,2,3,2,7,1,1,3,3,2,3,1,2,2
8,1,1,0,2,3,2,8,6,0,3,2,1,3,1,1,1
9,2,0,1,2,2,2,3,2,3,2,7,2,3,2,1,1
10,1,0,1,2,2,4,1,3,4,1,4,2,3,3,1,3
11,0,0,0,0,3,3,4,1,3,2,2,1,4,3,7,2
12,1,2,0,0,0,2,3,3,3,1,3,5,4,2,2,4
13,2,0,0,0,0,1,4,3,3,0,7,2,1,5,2,5
14,0,0,1,1,1,1,2,3,3,1,3,2,0,2,5,3
15,0,0,0,0,0,2,1,3,0,0,1,3,5,1,4,1
