,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,9,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1,2,8,1,1,1,0,0,0,1,0,0,0,0,0,0,0
2,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1
3,1,0,0,5,4,0,0,0,0,2,1,0,0,0,0,2
4,0,1,0,3,9,3,1,0,0,0,1,2,0,0,0,0
5,1,1,2,4,6,4,2,1,0,0,3,2,4,1,1,1
6,1,0,1,2,4,1,11,4,1,2,1,2,3,1,1,0
7,1,0,0,2,1,2,8,4,3,3,1,5,4,0,0,1
8,0,0,1,2,2,1,2,5,3,5,4,3,3,1,2,1
9,1,4,1,5,1,0,4,4,2,6,3,0,2,0,0,2
10,1,1,0,0,2,4,3,2,4,2,4,2,3,2,3,2
11,4,0,0,1,2,2,0,5,4,4,3,2,1,2,3,2
12,0,0,0,1,1,3,1,2,4,5,1,4,4,1,5,3
13,1,0,2,0,2,2,2,4,1,1,6,5,2,1,3,3
14,0,0,0,2,2,2,2,2,0,3,1,0,3,3,7,1
15,2,2,1,0,0,0,0,1,0,0,4,3,2,2,3,1
