,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,6,3,1,3,0,0,1,0,0,0,1,0,0,0,0,0
1,0,9,2,0,0,1,0,0,1,0,1,0,0,0,0,0
2,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0
3,1,1,1,3,5,1,1,0,1,0,0,0,1,0,0,0
4,1,1,1,5,7,2,1,1,1,0,0,0,0,0,0,0
5,0,2,2,4,9,3,3,2,2,2,2,1,0,1,1,0
6,1,0,0,3,5,2,9,2,2,1,1,3,1,2,3,0
7,0,1,0,4,2,3,8,1,3,2,4,2,1,2,1,1
8,0,0,1,2,0,1,4,5,4,2,4,6,2,1,2,1
9,0,0,0,1,4,2,4,3,4,3,4,2,3,0,1,4
10,0,1,0,0,0,3,9,4,4,2,4,2,1,2,2,1
11,0,1,0,0,2,0,3,4,5,2,1,0,5,5,3,4
12,2,0,0,1,1,2,2,2,3,2,5,6,4,3,1,1
13,0,0,1,1,1,3,4,2,4,2,1,4,4,2,1,5
14,0,0,0,1,2,2,2,1,2,1,2,3,1,2,3,6
15,2,0,0,0,0,0,2,2,1,1,1,1,0,2,2,7
