,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,5,6,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1,1,3,4,2,0,2,0,0,1,0,0,1,0,0,0,0
2,0,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0
3,2,2,1,1,5,0,0,2,1,0,0,1,0,0,0,0
4,3,1,0,4,3,1,1,4,1,0,0,0,2,0,0,0
5,0,1,2,3,8,4,6,5,0,1,0,1,0,1,1,1
6,3,0,1,2,4,5,6,5,4,1,0,2,0,1,1,0
7,1,0,0,2,4,3,3,4,3,2,4,2,1,3,0,3
8,3,0,1,5,4,4,5,2,2,0,2,3,2,1,0,1
9,2,0,2,1,4,2,1,4,1,3,1,4,1,2,1,6
10,1,1,0,0,1,2,2,6,2,3,5,3,2,1,2,4
11,0,0,0,2,2,0,3,1,5,3,3,4,1,4,3,4
12,0,0,0,3,1,2,1,5,2,1,5,4,4,2,3,2
13,0,0,0,0,3,5,4,2,1,2,4,3,4,0,2,5
14,1,0,0,0,1,1,5,1,3,1,1,1,3,4,4,2
15,0,0,0,0,1,0,4,2,1,1,1,1,3,1,0,6
