,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,7,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0
1,3,8,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1
3,1,2,0,6,2,2,0,0,0,0,1,0,1,0,0,0
4,1,1,1,2,6,3,1,2,1,0,1,1,0,0,0,0
5,1,0,0,4,11,2,2,1,1,2,6,0,0,2,1,0
6,0,0,1,1,2,6,11,2,3,1,1,0,5,0,2,0
7,3,1,0,2,5,3,3,4,1,3,1,4,1,1,2,1
8,2,2,2,0,3,4,3,8,2,1,2,2,0,2,1,1
9,0,0,2,2,3,1,1,2,1,3,4,2,2,5,6,1
10,1,1,0,1,2,3,3,3,2,2,3,3,2,2,5,2
11,0,0,0,0,1,3,3,3,4,6,3,5,2,2,2,1
12,0,3,0,1,3,3,2,0,2,3,2,4,3,6,2,1
13,0,0,2,0,0,6,1,4,2,2,1,1,2,1,10,3
14,0,0,1,0,1,2,4,0,0,0,3,5,0,3,4,4
15,0,0,0,1,0,2,1,0,1,3,1,2,1,3,3,2
