,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,9,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0
1,3,7,0,0,0,0,2,0,0,0,0,1,0,1,0,0
2,0,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0
3,0,2,0,0,1,7,2,1,2,0,0,0,0,0,0,0
4,3,0,0,0,2,4,3,3,1,0,3,0,1,0,0,0
5,1,0,0,0,3,7,6,4,2,2,2,1,2,3,0,0
6,1,0,0,0,0,2,8,3,3,3,6,4,2,3,0,0
7,0,0,0,0,0,1,8,4,3,2,4,8,2,3,0,0
8,0,0,0,0,0,3,2,3,9,2,4,5,3,4,0,0
9,1,1,0,0,0,2,8,1,0,3,3,6,1,9,0,0
10,1,0,0,0,0,2,3,5,3,3,2,6,7,3,0,0
11,1,0,0,0,0,3,2,4,3,4,3,3,3,8,1,0
12,0,0,0,0,0,0,6,3,6,3,2,10,3,1,1,0
13,0,2,0,0,0,0,4,2,2,5,1,7,1,9,2,0
14,0,0,0,0,0,0,3,5,3,0,3,1,6,5,2,0
15,0,0,0,0,0,0,1,2,0,2,3,4,2,5,1,1
