,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,6,0,0,0,1,2,2,1,0,0,0,1,1,0,1,0
1,1,4,0,0,0,3,1,0,0,1,1,2,0,1,0,0
2,0,3,0,0,1,0,0,0,1,1,0,0,0,0,1,0
3,0,0,0,0,1,5,4,1,1,0,1,1,0,1,0,0
4,1,1,0,1,0,5,2,2,2,2,1,1,1,0,1,0
5,1,0,0,1,2,10,3,4,4,0,0,4,0,2,2,0
6,3,0,0,0,1,6,6,5,1,2,4,4,1,2,0,0
7,1,2,0,0,0,2,1,3,6,3,2,8,1,2,4,0
8,1,0,0,0,0,2,5,2,4,0,3,6,2,6,4,0
9,1,0,0,1,0,4,5,4,4,2,3,4,5,1,0,1
10,1,0,0,0,0,4,4,3,3,2,3,5,2,7,1,0
11,0,0,0,0,0,3,6,5,3,1,1,5,7,2,2,0
12,0,0,0,0,0,3,3,1,4,2,5,4,6,4,2,1
13,0,1,0,1,0,1,2,2,2,4,4,4,5,6,2,1
14,0,1,0,0,0,1,0,1,3,1,1,3,6,7,2,2
15,0,0,0,0,0,0,2,1,2,2,1,2,4,4,1,1
