,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,9,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0
1,3,5,0,0,0,3,0,0,0,0,1,0,0,1,1,0
2,1,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0
3,2,1,0,1,0,3,0,0,2,3,1,0,0,1,0,0
4,1,0,0,1,1,6,1,1,4,2,0,2,0,1,0,0
5,2,0,0,0,0,6,7,2,3,1,2,5,1,4,0,0
6,0,0,0,0,0,6,5,5,2,2,3,2,5,1,3,1
7,0,1,0,2,1,7,3,2,4,1,3,2,5,4,0,0
8,0,0,0,0,0,3,3,6,6,1,1,5,5,4,1,0
9,2,0,0,1,0,2,3,3,4,2,5,2,2,5,3,1
10,1,0,0,0,0,3,2,6,3,2,3,1,5,8,1,0
11,2,0,0,0,0,1,4,4,3,3,3,5,6,2,2,0
12,1,2,0,0,0,2,1,2,5,2,3,6,6,2,3,0
13,0,1,1,0,0,2,4,3,3,0,2,1,8,8,2,0
14,0,0,0,0,0,1,1,2,1,1,3,1,9,7,1,0
15,0,0,0,0,0,2,2,1,2,2,3,3,0,1,3,1
