,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,9,1,0,0,0,2,0,0,2,2,0,0,0,0,0,0
1,2,2,0,0,0,2,1,2,4,0,0,1,0,1,0,0
2,1,2,0,0,0,1,1,0,1,0,0,1,0,1,0,0
3,1,1,0,0,1,7,1,2,0,0,1,1,0,0,0,0
4,1,0,0,0,2,7,2,2,2,0,1,2,0,1,0,0
5,1,0,1,0,1,8,7,1,5,1,3,3,2,1,0,0
6,0,0,0,0,0,10,7,3,2,2,2,5,3,1,0,0
7,1,2,0,0,1,3,10,5,2,1,5,2,1,2,0,0
8,1,1,0,0,0,12,2,4,3,2,5,2,2,1,0,0
9,1,0,0,0,0,10,5,1,1,2,4,6,1,4,0,0
10,0,0,0,0,0,1,4,5,7,2,2,7,1,6,0,0
11,0,0,0,0,0,2,2,2,4,4,5,3,6,5,1,1
12,0,0,0,0,0,2,3,0,4,0,8,8,4,6,0,0
13,0,1,0,0,0,0,5,3,2,3,5,6,6,3,1,0
14,0,0,0,0,1,1,2,2,2,2,4,4,3,5,2,0
15,0,0,0,0,1,0,3,0,1,0,6,2,2,6,0,0
