,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,6,0,0,0,0,0,2,0,2,1,2,1,1,0,0,0
1,3,6,0,0,1,1,0,1,1,0,0,0,1,0,0,0
2,0,2,0,0,0,1,2,0,2,0,0,0,0,0,0,0
3,0,0,0,1,2,2,0,3,6,0,1,0,0,0,0,0
4,1,0,0,1,0,2,2,5,1,3,2,0,1,0,1,1
5,0,0,0,1,3,6,7,6,0,1,2,4,3,0,0,0
6,3,0,0,0,0,1,11,3,6,2,2,2,2,2,1,0
7,2,1,0,0,0,3,3,9,4,4,1,5,3,0,0,0
8,1,0,0,0,0,3,3,3,5,1,4,3,7,5,0,0
9,0,1,0,0,0,0,6,2,5,4,8,3,5,1,0,0
10,0,0,0,0,0,1,6,8,2,3,8,2,3,2,0,0
11,0,0,0,0,0,2,3,4,5,2,7,3,2,7,0,0
12,0,0,0,0,0,2,8,2,3,4,5,3,1,5,2,0
13,0,1,0,0,0,2,4,1,2,5,6,5,6,2,1,0
14,0,0,0,0,0,0,0,2,3,3,4,1,7,6,1,0
15,1,0,0,1,0,1,4,1,1,1,4,3,2,1,0,0
