,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,6,0,1,0,1,0,2,2,0,0,1,0,1,2,0,0
1,2,3,0,1,0,1,2,1,2,1,1,1,0,0,0,0
2,0,1,0,0,1,0,1,1,3,0,1,0,0,0,0,0
3,0,0,0,1,1,2,5,1,1,1,0,2,0,1,0,0
4,0,0,0,2,0,6,1,2,1,1,2,2,0,2,1,0
5,1,0,0,0,1,9,5,4,4,2,2,5,1,0,0,0
6,1,0,0,0,0,2,12,1,2,4,4,3,2,4,0,0
7,2,0,0,0,1,4,7,4,2,1,1,6,5,2,0,0
8,1,0,0,0,0,4,4,4,5,4,4,1,5,3,0,0
9,1,1,0,0,0,6,6,0,3,2,2,3,6,4,1,0
10,1,0,0,0,0,3,1,3,0,6,7,4,7,3,0,0
11,0,0,0,0,0,1,3,1,1,4,3,5,11,6,0,0
12,0,0,0,0,0,1,2,4,1,2,7,2,7,7,0,2
13,1,0,0,0,0,3,3,1,1,1,4,3,10,6,2,0
14,1,0,0,0,0,1,4,4,2,6,4,0,4,0,2,0
15,0,0,0,0,0,1,1,4,1,1,1,4,4,3,1,0
