,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,7,1,0,0,0,0,3,0,1,2,0,0,0,1,0,0
1,1,4,0,0,1,0,1,0,5,0,1,0,0,1,0,0
2,0,0,0,0,0,1,0,1,1,2,0,1,0,1,0,0
3,0,0,0,1,2,1,3,1,2,3,0,2,0,0,0,0
4,0,1,0,0,2,2,3,7,1,1,3,0,0,0,0,0
5,0,0,0,1,1,5,7,3,3,2,2,3,4,1,0,1
6,0,0,0,0,0,4,9,1,5,5,3,4,3,1,0,0
7,1,0,0,2,2,3,6,4,2,2,6,5,2,0,0,0
8,0,0,0,0,0,4,5,4,2,3,3,4,5,3,2,0
9,0,0,0,0,0,4,6,8,0,4,4,5,2,2,0,0
10,2,0,0,0,0,1,2,4,1,4,5,7,3,6,0,0
11,0,0,0,0,0,4,4,3,3,4,1,5,5,6,0,0
12,0,0,0,0,0,2,3,1,4,3,7,3,6,6,0,0
13,1,1,0,1,0,2,2,1,5,4,6,1,7,3,0,1
14,0,1,0,0,0,2,1,4,1,4,2,1,5,7,0,0
15,0,0,0,0,0,2,4,0,1,0,1,2,4,6,1,0
