,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,5,3,0,0,0,3,0,0,1,0,0,1,0,1,1,0
1,0,2,0,0,0,4,3,0,2,0,1,1,1,0,0,0
2,1,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0
3,1,0,0,0,2,6,1,2,1,0,0,1,0,0,0,0
4,3,0,0,0,0,6,0,0,4,1,0,2,0,3,1,0
5,0,0,0,1,2,9,5,2,4,1,2,1,1,1,4,0
6,2,1,0,0,1,6,10,6,4,2,0,1,0,2,0,0
7,1,1,0,0,1,3,6,1,6,3,5,3,4,1,0,0
8,2,0,0,0,1,5,3,1,5,2,0,6,4,6,0,0
9,0,1,0,0,0,5,5,7,0,2,3,5,4,3,0,0
10,1,0,0,0,0,2,7,1,2,5,6,3,6,2,0,0
11,2,1,0,0,0,3,1,3,3,1,3,6,5,5,2,0
12,1,0,0,0,0,3,3,1,2,2,9,4,3,4,2,1
13,0,0,0,0,0,2,2,3,1,3,4,8,9,2,1,0
14,2,0,0,0,0,2,3,1,2,3,4,1,0,6,3,0
15,0,0,0,0,0,2,1,0,1,1,3,2,2,4,3,1
