,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4,2,0,0,1,3,2,1,0,0,0,0,1,1,0,0
1,4,4,0,0,0,1,1,0,3,0,0,1,0,0,0,0
2,0,0,0,0,0,1,0,4,1,0,2,0,0,0,0,0
3,0,1,0,1,3,2,1,4,1,1,0,1,0,0,0,0
4,1,0,0,0,3,4,4,2,2,2,0,0,1,1,0,0
5,0,0,0,0,1,6,7,6,0,1,4,4,3,2,0,0
6,0,1,0,0,0,5,13,3,2,1,2,2,3,3,0,0
7,0,0,0,0,0,4,9,0,5,3,4,4,4,2,0,0
8,0,0,0,0,1,0,3,7,8,2,3,5,2,4,0,0
9,1,0,0,0,0,1,1,1,2,3,9,3,9,4,1,0
10,0,0,0,0,1,4,0,4,4,4,4,4,6,2,2,0
11,0,0,0,0,0,1,2,4,5,1,6,8,5,2,1,0
12,1,0,0,0,0,2,4,4,3,3,2,5,4,4,2,1
13,0,0,0,0,0,2,2,2,0,3,4,6,9,6,1,0
14,1,0,0,0,0,2,0,2,1,2,3,4,8,4,1,0
15,1,0,0,0,0,0,0,2,0,1,4,2,5,6,0,0
