,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4,4,0,0,0,3,2,0,1,0,1,0,0,0,0,0
1,2,7,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0
3,2,0,0,0,1,3,2,2,1,0,0,1,0,3,0,0
4,2,0,0,0,1,2,0,4,3,1,3,2,1,0,1,0
5,1,0,0,1,3,6,7,2,2,2,1,1,2,3,2,0
6,0,1,0,0,2,6,8,1,5,3,3,0,3,2,1,0
7,0,1,0,1,0,3,7,4,3,4,2,3,5,2,0,0
8,1,0,0,0,0,2,2,4,8,4,5,1,2,5,1,0
9,0,0,0,1,0,4,1,1,6,3,10,2,3,3,1,0
10,1,0,0,0,0,2,10,2,4,1,6,5,2,2,0,0
11,2,0,0,0,1,1,1,4,3,2,4,4,6,6,1,0
12,0,0,0,0,0,2,5,2,4,2,7,4,5,4,0,0
13,0,0,1,0,1,5,2,1,1,3,3,5,8,2,3,0
14,2,1,0,0,0,2,2,1,3,2,2,1,6,3,3,0
15,0,0,0,0,0,3,1,2,1,1,2,4,2,3,1,0
