,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,9,0,0,1,0,0,0,2,2,1,0,0,0,1,0,0
1,3,7,0,0,0,0,2,0,0,1,1,0,0,1,0,0
2,0,1,0,0,1,1,1,2,0,0,0,1,0,1,0,0
3,2,0,0,1,3,4,3,0,1,1,0,0,0,0,0,0
4,1,0,0,1,1,6,4,0,2,1,0,0,0,4,0,0
5,0,0,0,0,1,6,5,4,4,3,3,1,4,3,0,0
6,0,0,0,0,0,6,4,4,2,3,3,2,7,3,0,1
7,2,0,1,0,1,1,8,4,2,2,3,2,5,4,0,0
8,1,0,0,0,1,5,5,2,3,3,6,1,4,4,0,0
9,0,0,0,0,0,0,6,5,2,4,6,2,2,7,1,0
10,0,0,0,0,0,5,5,3,0,2,4,4,6,5,1,0
11,2,1,0,0,0,2,3,4,1,5,3,5,5,3,1,0
12,0,0,0,0,0,2,7,3,2,2,2,5,5,5,2,0
13,0,0,0,0,0,2,2,2,7,4,5,5,7,1,0,0
14,0,0,0,0,0,4,1,2,1,1,1,7,8,2,1,0
15,0,0,0,0,0,4,0,2,0,1,3,3,5,1,2,0
