,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,6,2,0,0,0,2,1,1,1,0,0,1,0,1,0,0
1,2,4,0,0,0,2,1,2,1,0,2,0,0,0,0,0
2,1,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0
3,1,0,1,0,3,3,1,2,1,1,1,0,0,1,0,0
4,2,1,0,0,2,3,4,0,1,0,1,1,1,2,2,0
5,2,0,0,0,1,5,5,0,7,3,1,1,2,4,2,0
6,0,0,0,1,0,7,9,2,3,1,3,4,1,2,2,0
7,0,0,0,0,1,5,5,6,4,3,2,1,3,4,1,0
8,2,0,0,0,1,3,6,6,3,4,1,2,3,3,1,0
9,0,1,0,0,0,3,3,4,7,2,3,4,2,4,2,0
10,3,0,0,0,0,3,4,0,3,2,8,2,5,5,0,0
11,1,0,0,0,1,2,3,2,1,5,6,4,3,6,1,0
12,0,0,0,0,0,3,4,3,5,0,0,4,6,6,2,2
13,0,0,0,0,2,4,2,2,1,2,5,4,4,3,5,1
14,0,0,0,0,0,1,0,4,4,3,1,4,5,3,2,1
15,0,0,0,0,0,2,1,0,2,0,3,4,3,2,2,1
