10317_000001787,ERR1074183
10317_000001792,ERR1073712
10317_000001793,ERR1072821
10317_000001794,ERR1072822
10317_000001799,ERR1073713
10317_000001803,ERR1074966
10317_000001805,ERR1073714
10317_000001808,ERR1072829
10317_000001812,ERR1072830
10317_000001820,ERR1077263
10317_000001827,ERR1073124
10317_000001830,ERR1072832
10317_000001832,ERR1072833
10317_000001833,ERR1073450
10317_000001842,ERR1072836
10317_000001851,ERR1074185
10317_000001852,ERR1072837
10317_000001860,ERR1072839
10317_000001862,ERR1073716
10317_000001870,ERR1072841
10317_000001882,ERR1090214
10317_000001884,ERR1072844
10317_000001887,ERR1073128
10317_000001892,ERR1073129
10317_000001895,ERR1073717
10317_000001897,ERR1074747
10317_000001903,ERR1075605
10317_000001907,ERR1073451
10317_000001911,ERR1073131
10317_000001917,ERR1075433
10317_000001919,ERR1073133
10317_000001923,ERR1072848
10317_000001929,ERR1077814
10317_000001934,ERR1073135
10317_000001936,ERR1077264
10317_000001939,ERR1073136
10317_000001940,ERR1073137
10317_000001944,ERR1074189
10317_000001948,ERR1072850
10317_000001955,ERR1072851
10317_000001956,ERR1077773
10317_000001960,ERR1073138
10317_000001961,ERR1072852
10317_000001962,ERR1072853
10317_000001966,ERR1073139
10317_000001969,ERR1072854
10317_000001980,ERR1072857
10317_000001987,ERR1072859
10317_000002011,ERR2032464
10317_000002013,ERR1073720
10317_000002014,ERR1073721
10317_000002020,ERR1073455
10317_000002023,ERR1074191
10317_000002027,ERR1073456
10317_000002028,ERR1073457
10317_000002030,ERR1073458
10317_000002033,ERR1389625
10317_000002034,ERR1389626
10317_000002036,ERR1073141
10317_000002042,ERR1072862
10317_000002044,ERR1073143
10317_000002051,ERR1073459
10317_000002052,ERR1073460
10317_000002056,ERR1072863
10317_000002059,ERR1074748
10317_000002060,ERR1074749
10317_000002063,ERR1073723
10317_000002064,ERR1073144
10317_000002068,ERR1074193
10317_000002071,ERR1077818
10317_000002072,ERR1075606
10317_000002073,ERR1073145
10317_000002079,ERR1074195
10317_000002080,ERR1089672
10317_000002081,ERR1073461
10317_000002082,ERR1073462
10317_000002087,ERR1072866
10317_000002099,ERR1073724
10317_000002100,ERR1073725
10317_000002109,ERR1072867
10317_000002111,ERR1073726
10317_000002112,ERR1073727
10317_000002114,ERR1073146
10317_000002126,ERR1074198
10317_000002132,ERR1073147
10317_000002141,ERR1073464
10317_000002142,ERR1073465
10317_000002146,ERR1074199
10317_000002147,ERR1072868
10317_000002148,ERR1072869
10317_000002159,ERR1073729
10317_000002160,ERR1074201
10317_000002161,ERR1073467
10317_000002162,ERR1074202
10317_000002172,ERR1073469
10317_000002173,ERR1072871
10317_000002177,ERR1073148
10317_000002179,ERR1073149
10317_000002180,ERR1073150
10317_000002185,ERR1072874
10317_000002186,ERR1072875
10317_000002193,ERR1089673
10317_000002197,ERR1074970
10317_000002199,ERR1072876
10317_000002200,ERR1072877
10317_000002201,ERR1074207
10317_000002208,ERR1073152
10317_000002211,ERR1072879
10317_000002219,ERR1072880
10317_000002222,ERR1073736
10317_000002224,ERR2313941
10317_000002237,ERR1072884
10317_000002243,ERR1072885
10317_000002247,ERR1090216
10317_000002250,ERR1074750
10317_000002253,ERR1073737
10317_000002257,ERR1077821
10317_000002258,ERR1077822
10317_000002261,ERR1072887
10317_000002271,ERR1077774
10317_000002272,ERR1077775
10317_000002273,ERR1072889
10317_000002274,ERR1072890
10317_000002276,ERR1073153
