,Midwest,Northeast,South,West
Midwest,0.23525641025641025,0.2777777777777778,0.2126068376068376,0.2743589743589744
Northeast,0.16795366795366795,0.3812097812097812,0.2057915057915058,0.24504504504504504
South,0.16391184573002754,0.25730027548209367,0.32038567493112946,0.25840220385674934
West,0.1588159588159588,0.2625482625482625,0.2097812097812098,0.36885456885456885
