,Normal,Obese,Overweight,Underweight
Normal,0.4662857142857143,0.12161904761904761,0.3122857142857143,0.0998095238095238
Obese,0.3096153846153846,0.24597902097902097,0.3833916083916084,0.06101398601398601
Overweight,0.3699047619047619,0.18257142857142858,0.37076190476190474,0.07676190476190477
Underweight,0.3151696606786427,0.09500998003992016,0.19900199600798404,0.3908183632734531
