,5-6 hours,6-7 hours,7-8 hours,8 or more hours,Less than 5 hours
5-6 hours,0.1996774193548387,0.33725806451612905,0.24854838709677418,0.2135483870967742,0.000967741935483871
6-7 hours,0.2097287184284378,0.3113189897100094,0.26052385406922357,0.21805425631431244,0.00037418147801683815
7-8 hours,0.16211412535079514,0.31515434985968194,0.27623947614593075,0.2431244153414406,0.0033676333021515435
8 or more hours,0.1644527595884004,0.26127221702525727,0.23096351730589335,0.34162768942937327,0.0016838166510757717
Less than 5 hours,0.2409090909090909,0.3,0.23939393939393938,0.2196969696969697,0.0
